courseID,teacherID,teacherName,commentsURL
91333,3167,Diana-Arcadipone,https://www.applyweb.com/eval/new/showreport?c=91333&i=3167&t=181&r=9&d=true
92133,5034,Arnold-Kenyon,https://www.applyweb.com/eval/new/showreport?c=92133&i=5034&t=181&r=9&d=true
92092,5034,Arnold-Kenyon,https://www.applyweb.com/eval/new/showreport?c=92092&i=5034&t=181&r=9&d=true
92260,5346,Mara-Sidmore,https://www.applyweb.com/eval/new/showreport?c=92260&i=5346&t=181&r=9&d=true
89997,2754,Patrick-Hurley,https://www.applyweb.com/eval/new/showreport?c=89997&i=2754&t=181&r=9&d=true
89978,3673,Jaehan-Ahn,https://www.applyweb.com/eval/new/showreport?c=89978&i=3673&t=181&r=9&d=true
89977,3673,Jaehan-Ahn,https://www.applyweb.com/eval/new/showreport?c=89977&i=3673&t=181&r=9&d=true
89976,3673,Jaehan-Ahn,https://www.applyweb.com/eval/new/showreport?c=89976&i=3673&t=181&r=9&d=true
89975,4497,Kamber-Vittori,https://www.applyweb.com/eval/new/showreport?c=89975&i=4497&t=181&r=9&d=true
89974,2754,Patrick-Hurley,https://www.applyweb.com/eval/new/showreport?c=89974&i=2754&t=181&r=9&d=true
89973,2254,Michael-Ruff,https://www.applyweb.com/eval/new/showreport?c=89973&i=2254&t=181&r=9&d=true
89686,579,Ganesh-Krishnamoorthy,https://www.applyweb.com/eval/new/showreport?c=89686&i=579&t=181&r=9&d=true
89634,579,Ganesh-Krishnamoorthy,https://www.applyweb.com/eval/new/showreport?c=89634&i=579&t=181&r=9&d=true
89654,1365,James-Regan,https://www.applyweb.com/eval/new/showreport?c=89654&i=1365&t=181&r=9&d=true
89856,2254,Michael-Ruff,https://www.applyweb.com/eval/new/showreport?c=89856&i=2254&t=181&r=9&d=true
89795,1030,Matthew-Petit,https://www.applyweb.com/eval/new/showreport?c=89795&i=1030&t=181&r=9&d=true
90371,2254,Michael-Ruff,https://www.applyweb.com/eval/new/showreport?c=90371&i=2254&t=181&r=9&d=true
91132,3052,Anthony-Russo,https://www.applyweb.com/eval/new/showreport?c=91132&i=3052&t=181&r=9&d=true
91271,673,Laurance-Ginsberg,https://www.applyweb.com/eval/new/showreport?c=91271&i=673&t=181&r=9&d=true
91679,1128,Yue-Zhang,https://www.applyweb.com/eval/new/showreport?c=91679&i=1128&t=181&r=9&d=true
92799,454,Peggy-O'Kelly,https://www.applyweb.com/eval/new/showreport?c=92799&i=454&t=181&r=9&d=true
92631,7150,Kelly-Wellman,https://www.applyweb.com/eval/new/showreport?c=92631&i=7150&t=181&r=9&d=true
93666,7150,Kelly-Wellman,https://www.applyweb.com/eval/new/showreport?c=93666&i=7150&t=181&r=9&d=true
93667,7150,Kelly-Wellman,https://www.applyweb.com/eval/new/showreport?c=93667&i=7150&t=181&r=9&d=true
90147,3052,Anthony-Russo,https://www.applyweb.com/eval/new/showreport?c=90147&i=3052&t=181&r=9&d=true
90148,603,Timothy-Gagnon,https://www.applyweb.com/eval/new/showreport?c=90148&i=603&t=181&r=9&d=true
90244,454,Peggy-O'Kelly,https://www.applyweb.com/eval/new/showreport?c=90244&i=454&t=181&r=9&d=true
90244,1844,William-Goldman,https://www.applyweb.com/eval/new/showreport?c=90244&i=1844&t=181&r=9&d=true
90245,454,Peggy-O'Kelly,https://www.applyweb.com/eval/new/showreport?c=90245&i=454&t=181&r=9&d=true
90245,1844,William-Goldman,https://www.applyweb.com/eval/new/showreport?c=90245&i=1844&t=181&r=9&d=true
90246,454,Peggy-O'Kelly,https://www.applyweb.com/eval/new/showreport?c=90246&i=454&t=181&r=9&d=true
90246,1844,William-Goldman,https://www.applyweb.com/eval/new/showreport?c=90246&i=1844&t=181&r=9&d=true
90247,784,Christina-Williams,https://www.applyweb.com/eval/new/showreport?c=90247&i=784&t=181&r=9&d=true
90247,454,Peggy-O'Kelly,https://www.applyweb.com/eval/new/showreport?c=90247&i=454&t=181&r=9&d=true
90248,784,Christina-Williams,https://www.applyweb.com/eval/new/showreport?c=90248&i=784&t=181&r=9&d=true
90248,454,Peggy-O'Kelly,https://www.applyweb.com/eval/new/showreport?c=90248&i=454&t=181&r=9&d=true
90249,5654,Annie-Witte,https://www.applyweb.com/eval/new/showreport?c=90249&i=5654&t=181&r=9&d=true
90249,454,Peggy-O'Kelly,https://www.applyweb.com/eval/new/showreport?c=90249&i=454&t=181&r=9&d=true
92193,5654,Annie-Witte,https://www.applyweb.com/eval/new/showreport?c=92193&i=5654&t=181&r=9&d=true
92193,454,Peggy-O'Kelly,https://www.applyweb.com/eval/new/showreport?c=92193&i=454&t=181&r=9&d=true
92194,5654,Annie-Witte,https://www.applyweb.com/eval/new/showreport?c=92194&i=5654&t=181&r=9&d=true
92194,454,Peggy-O'Kelly,https://www.applyweb.com/eval/new/showreport?c=92194&i=454&t=181&r=9&d=true
89972,7148,Jared-Flake,https://www.applyweb.com/eval/new/showreport?c=89972&i=7148&t=181&r=9&d=true
89971,879,Kimberly-Moreno,https://www.applyweb.com/eval/new/showreport?c=89971&i=879&t=181&r=9&d=true
89970,7148,Jared-Flake,https://www.applyweb.com/eval/new/showreport?c=89970&i=7148&t=181&r=9&d=true
89969,5918,Christopher-Miller,https://www.applyweb.com/eval/new/showreport?c=89969&i=5918&t=181&r=9&d=true
89968,5918,Christopher-Miller,https://www.applyweb.com/eval/new/showreport?c=89968&i=5918&t=181&r=9&d=true
89855,5632,John-Glencross,https://www.applyweb.com/eval/new/showreport?c=89855&i=5632&t=181&r=9&d=true
90122,4964,Mauricio-Mello Codesso,https://www.applyweb.com/eval/new/showreport?c=90122&i=4964&t=181&r=9&d=true
90310,4948,Jennifer-Sherman,https://www.applyweb.com/eval/new/showreport?c=90310&i=4948&t=181&r=9&d=true
90560,1171,Ronald-Zullo,https://www.applyweb.com/eval/new/showreport?c=90560&i=1171&t=181&r=9&d=true
90689,1171,Ronald-Zullo,https://www.applyweb.com/eval/new/showreport?c=90689&i=1171&t=181&r=9&d=true
90860,1171,Ronald-Zullo,https://www.applyweb.com/eval/new/showreport?c=90860&i=1171&t=181&r=9&d=true
92107,4964,Mauricio-Mello Codesso,https://www.applyweb.com/eval/new/showreport?c=92107&i=4964&t=181&r=9&d=true
92236,879,Kimberly-Moreno,https://www.applyweb.com/eval/new/showreport?c=92236&i=879&t=181&r=9&d=true
93668,7445,Richard-Wang,https://www.applyweb.com/eval/new/showreport?c=93668&i=7445&t=181&r=9&d=true
90123,603,Timothy-Gagnon,https://www.applyweb.com/eval/new/showreport?c=90123&i=603&t=181&r=9&d=true
89967,5654,Annie-Witte,https://www.applyweb.com/eval/new/showreport?c=89967&i=5654&t=181&r=9&d=true
89702,5654,Annie-Witte,https://www.applyweb.com/eval/new/showreport?c=89702&i=5654&t=181&r=9&d=true
92727,5918,Christopher-Miller,https://www.applyweb.com/eval/new/showreport?c=92727&i=5918&t=181&r=9&d=true
91603,1844,William-Goldman,https://www.applyweb.com/eval/new/showreport?c=91603&i=1844&t=181&r=9&d=true
89965,1844,William-Goldman,https://www.applyweb.com/eval/new/showreport?c=89965&i=1844&t=181&r=9&d=true
89786,4497,Kamber-Vittori,https://www.applyweb.com/eval/new/showreport?c=89786&i=4497&t=181&r=9&d=true
89966,673,Laurance-Ginsberg,https://www.applyweb.com/eval/new/showreport?c=89966&i=673&t=181&r=9&d=true
89964,454,Peggy-O'Kelly,https://www.applyweb.com/eval/new/showreport?c=89964&i=454&t=181&r=9&d=true
90028,454,Peggy-O'Kelly,https://www.applyweb.com/eval/new/showreport?c=90028&i=454&t=181&r=9&d=true
90623,784,Christina-Williams,https://www.applyweb.com/eval/new/showreport?c=90623&i=784&t=181&r=9&d=true
90104,537,H-Sherman,https://www.applyweb.com/eval/new/showreport?c=90104&i=537&t=181&r=9&d=true
92825,6647,Caleb-Gayle,https://www.applyweb.com/eval/new/showreport?c=92825&i=6647&t=181&r=9&d=true
91906,6521,Natalie-Shibley,https://www.applyweb.com/eval/new/showreport?c=91906&i=6521&t=181&r=9&d=true
91740,4231,Matthew-Lee,https://www.applyweb.com/eval/new/showreport?c=91740&i=4231&t=181&r=9&d=true
92826,110,Carla-Kaplan,https://www.applyweb.com/eval/new/showreport?c=92826&i=110&t=181&r=9&d=true
93748,7556,Kris-Manjapra,https://www.applyweb.com/eval/new/showreport?c=93748&i=7556&t=181&r=9&d=true
92827,6864,Annakay-Wright,https://www.applyweb.com/eval/new/showreport?c=92827&i=6864&t=181&r=9&d=true
90839,81,Richard-Wamai,https://www.applyweb.com/eval/new/showreport?c=90839&i=81&t=181&r=9&d=true
93506,5269,John-Olawepo,https://www.applyweb.com/eval/new/showreport?c=93506&i=5269&t=181&r=9&d=true
93507,7579,Tamara-Jimah,https://www.applyweb.com/eval/new/showreport?c=93507&i=7579&t=181&r=9&d=true
